source,target,edge
suspected Al Shabaab militants,secondary Wajir town,Wajir
one  killing,other  sources,reported by other
teenage Uasin protesters,suspect,size
hundred  students,Eldoret Uasin hundred,size
unspecified boda taxi group,later  vehicle,size
police security officials,1400,size
lit  Police,tear gas crowd,size
Local security forces,Khorof Harar town,injured
Mandera police reservist,incident,killed during
fifty water vendors,Nakuru Naivasha 50,size
Funan Idhaa which,militia group,were from
riot  police,teargas demonstrators,hundreds
military  forces,suspected Bute area,details
2021  mob,allegedly Nakuru law,size
three  others,2021 Arabia town,killed
Meru Nanyuki Isiolo residents,poor Imenti town,size
3 supremacy one,incident,size
One Funan Qumbi person,100 Funan Qumbi village,killed
chanting,heavy police area,size
Casualties,area,unknown
One Banissa militant,Wol dam Ashabito,killed
police,them,size
politician Bobi Police,allegedly  permit,size
ethnic  militia,chief Kapedo town,shot
attack,revenge,believed
over  Casualities,over  camp,unknown
suspected Al Shabaab militants,mast Mandera town,East
Three Kapedo officers,Kapedo town,injured
reportedly  motive,clash,is unknown
Three others Members,also  center,locked
2021 Borana militia,Halakhe Yayo Saku town,killed
another,incident,killed
suspected Al Shabaab who,mast Didkuro Takaba,West
two  others,grazing North Horr town,killed
local  residents,old Thuci river,size
injuries,fatalities,reported
Mandera Banissa injuries,Mandera Banissa fatalities,reported
2021 Al Shabaab militants,private Takaba town,West
injuries,partially Mandera town,reported
also  motive,clans,was
serious  that,working environment,size
suspected Al Shabaab militants,bound  Banissa,were
motive,land dispute,believed
three police vehicles,bull coronavirus gathering,size
hundred  refugees,a Ifo Refugee hundred,size
2021  mob,allegedly Makueni mother,size
unidentified  gunmen,suspected Merti town,North
others,North Chemoe village,killed
when  it,attack,was on
unpaid Nairobi They,government,size
hideout,Boni National Reserve,killed
other  victim,injuries,size
red T shirts,youth,hundreds
who,Chinese Al Shabaab Koton,Wajir
Lamu Lamu injuries,Lamu Lamu fatalities,reported
,local Kisii town,officer
Nakuru Naivasha protesters,national  years,size
other Wajir group,them,entered
Mandera Wargadud injuries,Mandera Wargadud fatalities,reported
Nakuru police officers,road,size
women,unhurt,targeted
new police injuries,new police fatalities,reported
Starehe Nairobi protest,a  hundred,size
local  residents,brutal Njoro town,size
clinical  officers,unpaid PPE Nakuru town,size
local  residents,two Gathaka Kagio,size
university he,Kiminini town,Kiminini
separately Trans Police,demonstrators,size
when  she,bath,size
speedy defense forces who,KCPE town,size
tuition fee,"Sh48,000",size
fully  demonstrators,running police hundred,size
Kisii ward police,protesting  contractors,size
police armory vehicle,Kenyan Amuma Garissa,injured
coastal  region,Kenya,advocating
motive,land  retaliation,was
attack,outlawed Land Defense Force,suspected
local  residents,grabbed Garissa town,size
Isiolo Isiolo motive,land clans,was
Five police officers,2020 Rhamu town,injured
lit Malaba Bungoma police,teargas fifty,size
Kirnyaga Kagio they,sexual  school,dozens
six  others,police officer,killed
lit Malaba Bungoma police,teargas fifty,size
2020 police officer,related Teso operation,North
federal  police,OLF Moyale town,abducted
Marsabit Moyale Sub Scores,people,injured
arrest,release,size
Samburu They,unknown  livestock,stole
Marsabit South Horr motive,attack,believed
when  they,a  hundred,size
clash,pasture land water dispute,related to
traders,way  50,size
Four Turkana people,student,killed including
One Mandera person,Mandera town,killed
Wajir sheikh,Korondinle division,travelled from
Ten police officers,northern Maua town,injured
Igembe South Igembe incident,land dispute,related to
who,teacher,size
15  youth,a police hundred,size
Marsabit Marsabit motive,secondary Marsabit town,is unknown
Elgeyo incident,land dispute,related to
also  injuries,also  fatalities,reported
thousand matatu drivers,Nakuru Nakuru Town thousand,size
local  mourners,three Karatina town,size
Garissa Garissa protesters,French  hundred,called
senior Police fire,demostrators,size
local  residents,habitually election campaigns,size
three Kisii women,witchcraft  sorcery,report
several  others,Baragoi town,killed
Kirinyaga Kimbimbi mob,fifty,size
secondary school student,witchcraft claims,size
motive,land dispute,was
2020  mob,domestic Kiriyanga dispute,size
Three KDF soldiers,clash,injured in
companies,unfair  them,size
he,residents,beaten
environmental Kilifi which,construction hundreds,size
2020 school student,Meru town,size
30  residents,old gang 30,size
2013 Westgate Mall that,68  people,is
group,reliable water area,suspected
Matunda police who,police,size
Nyamira West Police,Tangatanga MPs,size
Wajir injuries,Wajir fatalities,reported
Four Mandera people,Kutulo,injured
One church person,a  hundred,size
two police officers,Lomelo village,Turkana
1000  locals,Nakuru Mai Mahiu 1000,size
50 Tuskys supermarket employees,most T 50,size
70 Tuskys supermarket employees,most T 70,size
major traffic They,200,size
based Kikopey herders,farms,killed in
properly county Police,teargas 100,size
local  residents,Mai Mahiu town,size
local  residents,Absa- Malindi town,size
casual  workers,ongoing Tharaka Nithi contractor,size
2020 Al Shabaab militants,Lafey Mandera town,abducted
Five Sheikh Barrow militants,KDF Alungu Elwak Fino,killed
national youth council,national youth government,report
One Samburu boy,Baragoi town,killed
Lafey Barrow injuries,Lafey Barrow fatalities,reported
lesbian Nairobi group,away  groceries,size
local one residents,political Sanburu 100,size
Nakuru Marashoni attackers,seven  others,torched
two  They,school 90,size
they,Fafi town,killed after
they,KEMSA scandal,size
earlier Turkana One,police,killed by
Four Turkana Pastoralists,attack,killed in
Narok Narok demonstrators,current MP president,size
One Marakwet person,earlier Marakwet Chepkokou,killed
Kisii Nyaribari demonstrators,50,size
it,police brutality,size
current  who,100,size
attack,ongoing  Marakwets,related to ongoing
main Gatundu protesters,current MP 50,size
Mandera Sheikh Barrow injuries,Mandera Sheikh Barrow fatalities,reported
Six Wajir people,boda boda rider,killed including
2020  lawyers,Igembe South Igembe colleague,size
,prominent Maua town,Meru
2020  police,suspected Tiribe town,shot
Nakuru Nakuru Police,teargas crowd,size
local  residents,peacefully Siaya town,size
Three teargas people,teargas demonstrators,size
Emali demonstrators,burning Wote Emali tires,size
major Baringo demonstrators,alleged coronavirus fund,size
Six coronavirus people,alleged coronavirus fund,size
police,teargas demonstrators,size
Five teargas people,hundreds,size
Four teargas people,hundreds,size
Two coronavirus people,50,size
government,unknown Nandi tea,hundreds
ethnic government demonstrators,also  community,size
Nairobi coronavirus Police,12 teargas people,hundreds
2020  farmers,reduced tea kilogram,size
alleged Nyamira Police,Nyamira ni,hundreds
Conflicting  fatalities,two  fatalities,reported by different
one  Police,group,size
national coronavirus Police,teargas crowd,size
Nairobi Upper journalists,different police stations,working on
delayed salary Police,teargas 300,size
mostly Semburu who,rising Baragoi area,size
suspected  murderers,businessman,size
suspected  thieves,fatally Valley Nairobi,size
seriously  mob,them,size
ahead family Police,stones,size
Manyatta boda boda driver,suspected  gang,size
Kitui Central,water area,size
who,police,size
2020  locals,Nairobi  Ethiopia,size
2020 community members,fatally Mwatate district,size
that,police panga,went to
police officer,rungu,size
traders,main coronavirus pandemic,size
2020  residents,Olposimoru trading centres,size
police who,formerly Rift Kilgoris,size
2020  residents,slow Mirundi- Kevote road,size
12  who,area,seized
,Kericho Kericho County food,size
2020  mob,earlier Service Board ODM,size
group,reportedly vice ODM,size
2020 Matatu operators,recent  Nakuru,size
2020  group,seriously Kathuma village,assaulted
children,reports,fatalities
One Marioshoni fatality,recent Marioshoni area,reported
eight,alight,set
second  reports,three  arrows,killed on
other  women,politicians,targeted
suspected cattle raiders,ethnic Narok North subcounty,shot
ethnicies,rival  groups,reported
Eldoret Uasin Police,crowd,hundreds
fatally  police,demonstration,size
short  He,short  call,size
beacon,land grabbers,size
three  fatalities,injuries,succumbed from
suspected Al Shabaab members,armed  Yumbis,burned
allegedly  Police,crowd,hundreds
armed  group,hundred Samburu goats,attacked
man,times  partner,size
Three Kisumu journalists,related Kisumu policing,size
2020  residents,coronavirus isolation center,size
two police who,two police officers,size
youth,back  police,size
security who,frequently  route,believed
2020  residents,armed Laikipia men,size
100 Baringo herder,later  injuries,died from
casualties,attackers,reported
livestock,Maasai Mau Olposimoru,South
2020 community members,Matondoni Lamu,size
deceased  women,witchcraft  sorcery,report
national coronavirus Police,56,hundreds
fatalities,vehicle,reported
elderly Gatundu tenants,property,size
2020 community members,suspected Mithuthini Wanguru,size
fatally  who,coronavirus curfew,size
2020  police,national coronavirus Kisii,shot
Turkana raiders,Atirir Salawa,injured
four,in Mikululo area,killed
Garissa Fafi fatalities,Fafi village,reported
2020 community members,Homa Bay,size
supposedly  Police,supposedly  house,size
power which,a  months,size
when police officer,national coronavirus curfew,shot
Two  fatalities,others,dozens
2020  hundreds,poor Endebess sub county,hundreds
fatalities,Ijara,reported
2020  man,severely national coronavirus lockdown,West
four Marsabit Isiolo people,tribal Rendilles attack,size
they,business,size
2020  residents,national coronavirus curfew,size
two police officers,national coronavirus curfew,assaulted
2020  clashes,four Saku subcounty,left
three  policemen,mast Al Lafey,suggest
suicide  demonstrators,man,size
young  women,girls,targeted
who,nearest  preservation,size
community he,Mbooni East,size
2020  residents,Tharaka North sub country,size
office Police,fighting,size
700  people,Kirinyaga County governor,size
Three Gof fatalities,Gof Sololo,reported
200  people,national coronavirus 200,size
2020 police officer,armed Lamu East,Basuba
Marsabit motor victims,ethnic  group,were from
2020  woman,Narok county,North
elderly  he,elderly  man,size
2020  man,national coronavirus curfew,hospitalised after
Conflicting  reports,Borana  Barderero,suggested
former Matapato North Police,crowd,size
2020  women,ahead  polls,size
who,people,size
extrajudicial police Police,extrajudicial police Kenya,size
homeless  who,Marikiti 300,size
Nairobi Marikiti IPOA,several national coronavirus lockdown,investigating several
fatally  IPOA,several national coronavirus lockdown,investigating several
sexually  he,Manyatta Police Station,assaulted
fatalities Riongo injuries,disarmament Riongo exercise,reported
wife,police,injured
Kwale family IPOA,several national coronavirus lockdown,investigating several
military  officers,al Shabaab Garissa town,Dujis
two Katanin IPOA,several national coronavirus lockdown,investigating several
Nairobi coronavirus Police,3000,size
suspected police officers,national coronavirus curfew,assaulted
2020  residents,delayed  bridge,size
reportedly livestock Fatalities,two  events,split between
reportedly livestock Fatalities,two  events,split between
Five grazing injuries,grazing fields,reported
poor  journalist,unknown  assailants,size
Ugandan They,truck tests,size
national coronavirus He,later  injuries,succumbed from
off duty who,off duty paramedic,size
nearby  demonstrators,nearby  danger,size
planted  fatalities,planted  IED,reported
Seven police officers,Kenyan  Harar,injured
national coronavirus man,national coronavirus curfew,injured
Wajir East Casualty figures,0,Coded as
7 police officers,heavy police gunfire,killed
group,8  dogs,size
slow health worker Police,30  demonstrators,size
two miraa Police,fence,hundreds
suspected  bandits,National Police Reservist,clashed with
2020  mob,fatally  Gem,size
2020  mob,female Komarock Nairobi,size
Nairobi  Police,Eastleigh,size
2020  residents,testing coronavirus curfew,size
2020  police,national coronavirus curfew,enforcing
next  Police,teargas  crowd,hundreds
4 Kisii sub fatalities,cattle Bobasi,size
2020  hundreds,partial coronavirus area,hundreds
Community members,police machete,size
2020  police,Bomet East coronavirus curfew,assaulted
Samburu fatalities,Kirisia Maralal,reported
coronavirus Demonstrators,him,size
then police Police,crowd,size
2020  man,Nairobi coronavirus measures,assaulted by
sexually  he,Central Police Station,assaulted
run Turkana West,Turkana  insecurity,size
Marakwet East Elgeyo he,two  sons,size
theft,coronavirus curfew,size
health workers,allegedly job accreditations,size
2020  man,community Kakamega,size
2020 Embu traders,suspected  Embu,size
Kakamega community confrontation,forest resource protection,size
Al Shabaab,responsibility,claimed
casualties,responsibility,reported
2020 community members,three  Vihiga,size
2020  police,several terror weapons,Mombasa
local  residents,Kericho coronavirus fears,size
Mandera casualties,Mandera Town,reported
2020 Tigania West,coronavirus curfew,size
10 al Shabaab fatalities,Wajir police,reported
Wajir Number,police,confirmed by
ambush,political news figures,indicate
who,Elburgon,size
one,national coronavirus Kitui,size
then Migori mob,rich  stones,size
2020  man,Kasarani coronavirus measures,assaulted by
national coronavirus Police,beating  traders,accused of
10  houses,ethnic  Pimbinyiet,South
who,coronavirus outbreak fears,size
Police,crowd,size
2020  trader,national coronavirus curfew,assaulted by
Kakamega teargas police,national coronavirus curfew,size
when  they,national coronavirus curfew,shot
ethnic livestock Police,ethnic livestock theft,intervened
right  he,national coronavirus curfew,hospitalised with
Four law enforcement fatalities,Based law enforcement methods,size
who,police station base,raped
national coronavirus Police,crowd,size
2020  man,national coronavirus curfew,assaulted by
Kirinyaga Defatha governor,journalists,tens
national coronavirus transport,earlier  government,size
armed Tugen youth,60 Pokot goats,raided
2020  police,reportedly coronavirus curfew,assaulted
national coronavirus Police,12  bar,used
2020 police officers,national coronavirus curfew,broke
few  shoppers,Mombasa coronavirus curfew,assaulted by
,national coronavirus curfew,On
2020 police officers,national coronavirus curfew,broke
when  police,national coronavirus curfew,wounded in
2020  police,live coronavirus curfew,shot
it,fatally  police,size
2020  police,Nakuru,March
2020 boda boda driver,national coronavirus lockdown,assaulted by
seriously  police,Busia,injured
,2020  Dandora,March
who,also  assaults,assaulted after
2020  police,Nairobi coronavirus curfew,assaulted
2020  police,Kisumu East curfew coronavirus,defying
Market Milimani,curfew coronavirus,size
2020 boda boda driver,national coronavirus curfew,wounded by
2020  police,national coronavirus curfew,Central
national boda boda driver,national coronavirus curfew,assaulted
five  people,national coronavirus curfew,injured by
he,forced disappearance case,said
2020  government,national coronavirus Kenya,implemented
2020 police officers,nationwide coronavirus curfew,beat
police officers,coronavirus curfew,died from
2020  police,social North distancing,used
Several Channel ferry people,stampede,hundreds
10 boda boda drivers,national coronavirus curfew,size
Kisumu Kisumu traders,greater  coronavirus,size
Lamu casualties,Al Shabaab Milihoi,reported
2020 Kenyan Military Forces,12 Boni National Reserve,killed
local hand police,coronavirus,gathered
they,Ukunda,size
unidentified IED they,Hulugho,killed in
2020  members,armed  3,targeted
Marsabit Moyale victims,Ethiopian  rebels,accused of
special  forces,Al Shabaab Jirole Garissa,Dujis
IED,Al Shabaab militants,suspected
2020  traders,unknown Marigiti market alight,size
when  they,Al Shabaab Bambo,North
two  people,Al Shabaab Al Mandera,(
Mandera casualties,Mandera Nairobi,reported
Kakamega  demonstrators,county,size
2020  students,previous West day,size
who,student,size
early security arrests,early security bulbs,size
tear  who,ground,size
2020  hundreds,Lamu water,hundreds
2020  police,tear Uasin police,size
two Kakamega cause,area,said
200 hotel workers,Gombato Bongwe salary 200,size
2020  residents,major county area,size
armed  clashes,private Athi River,broke
three  they,pangas,size
school building,Naibung'a Mukogodo,killed
2020  police,delayed prison payments,size
2020  residents,poor Homa Bay,size
18  others,two land dispute,killed
he,items,size
man,Nyando area,size
50  youths,private land dispute,destroyed
2020 Al Shabaab militants,four police reservists,attacked
alleged  bandits,Baringo South cattle raids,attacked
several Al Shabaab,responsibility,claimed
200  contractors,unresolved Lugaga debts,size
suspected Al Shabaab militants,Kenyan police Sangailu,set
suspected Pokot militia,young Baringo animals,attacked
suspected Al Shabaab militants,3 Wajir people,attacked
100  residents,donkey 100,size
Wundanyi Mbale Mbale,land dispute,related to
Police forces,woman,size
2020  mob,suspected  Matuu,size
who,missing Kenya Prisons payments,size
angry  mob,Matuu market,size
2020 Al Shabaab militant,Garissa county,attacked
2020  mob,attempted  rape,size
1 police officer,Bula Golol,killed
two construction casualties,two construction vehicles,reported
3 police officers,Garissa County,wounded
suspected Al Shabaab militants,Ijara,killed
several  people,pregnant Bamba police station,size
2020  mob,new Homa Bay incompetence,size
2020  legislators,Kiambu governor,size
who,Kisenye,size
2020  protesters,judicial  system,size
2020 police officer,clan Trans Mara,killed by unidentified
14  others,2  others,injured
Siria Uasin clans,70 Trans people,clashed in
2020  residents,recent  civilians,size
suspected Al Shabaab militants,2 passenger people,attacked
blocked  members,press Mombasa,size
1 police officer,unidentified Garissa County,injured
2020  police,several  terrorism,arrested
who,Migori,size
2020  members,frustrating Nairobi residents,size
2020  residents,bad road Sotik,size
military  fatalities,Kenyan  police,reported
2020  residents,bad road Sotik,size
poor Embakasi South Police,tear  them,size
2020  members,dry Mai Mahiu,report
2020  march,gender violence,size
2020  residents,bad road Sotik,size
youth,police officer,size
2020  residents,200 Kijabe employees,size
they,poor Nairobi county,size
5 Nairobi demonstration,poor Kasarani Mwiki Road,size
2020 food vendors,public health workers,size
2020  residents,poor Nairobi county,size
angry  parents,poor test results,size
2020 matatu drivers,poor Nairobi roads,size
1 Garissa They,also Safaricom communication,destroyed
Nakuru institution,December,report
failed suicide He,traffic light post,size
Nakuru institution,December,report
teacher,crime,size
other  people,angry Siaya county,size
nearby Mandera casualties,nearby communications Olla,reported
he,land dispute case,suspects
Nairobi that,assault scores,size
2020  traders,Nyeri railway,size
further city information,city payment,size
4  civilians,also  attack,killed
2 test people,poor test scores,size
other  robbers,attempted  Mwingi,size
angry  parents,poor exam results,size
Makueni Police,rioters,size
angry  parents,poor test scores,size
later  casualties,five  civilians,reported
gang they,them,size
angry  residents,poor Nairobi roads,size
also Kenyan authorities,casualty,killed
2020  youths,MP Alice Wahome,size
2020  assailants,land dispute,destroyed
police who,old  girl,size
1 Lamu fighters,area,killed
2020  residents,poor Machakos road,size
2020  employees,Guard Force payment,size
2020 Al Shabaab,2 Lamu others,attacked
2020  parents,poor test results,size
2020 women leaders,old Homa girl,size
family,him,accused
2019  man,unidentified  Baragoi,killed by unidentified
who,allegedly Ikurungu Kutu,size
2 Kitanda people,land NGO,size
police officer,Trans Mara district,arrested
3 Lamu injuries,3 Kibaoni Mpeketoni Mpeketoni,reported
Al Shabaab,Khorof Kharar Wajir,assumed responsible
two prison who,Ruiru,size
They,illegal  activities,shot
Garissa Liboi They,December,released on
2019  man,botched  Kintengela,size
incident,police officers,claims
pedestrian,motorist,size
32 Mai sheep,speeding  truck,size
uncertain  body,Maungu,killed in uncertain
injuries,military Lagh Kutulo,reported
construction that,Arabia Mandera road,stormed
3 Narok 15,3 Narok people,took
Emgwen  police,traditional celebration beer,dozens
police officer,arrest,size
suspected Al Shabaab One,potential  victims,escaped
President William he,allegedly Governor Alfred Mutua,size=400
they,Embu,alleged
President William he,allegedly Governor Alfred Mutua,size
Chaani Makupa Causeway they,Christmas holiday,size
alleged farm man,later  hospital,size
it,9 Garissa town,claimed
2019  hundreds,46  Kithirune,hundreds
suspected  who,Likoni,size
public Elegeyo vehicle,two road traffic people,size
further Mai information,unpaid Mai wages,size
addition information,contraband cigarettes,size
unidentified  attackers,Islamic Lamu Mbwajumwali,hacked to
5 Kakuma refugee fighting,football match,size
10  people,event,arrested
bus driver,area,fled to
they,fees,size
Safaricom militants,Somali diesel border,reported about
such  event,22  October,size
alleged irrelugar hiring,unpaid  salaries,size=500
incident,Turkana  August,reported
two City Square they,allegedly street gambling,size
also  asylum,also  transgender,size
Event,Fedha Embakasi estates,size
suspected Wakali Kwanza he,Likoni,size
allegedly  demonstrations,two  students,size
They,several  phone,size
ago Coast Region worshippers,police forces,size
reportedly Lamu locals,alleged  citizens,patrolled through
allegedly  demonstrations,two  students,size
Jasko  residents,increased land area,decry
pastoralist  killing,3  December,Reported on
Ndumberi Kiambu fatalities,two  locations,size
Ndumberi Kiambu fatalities,two  locations,size
ethnic  militiamen,Adbuwak Garissa area,killed
they,86 Wakali Kwanza gang,arrested
they,86 Wakali Kwanza gang,arrested
day land women,land women,targeted
reportedly Nkabune Kathurine that,impractical Meru road,size
they,area,size
naval Mombassa circumstances,killing,disputed
Kirinyaga county Kirinyaga meeting,Kirinyaga county Kirinyaga meeting,size
mistaken Busia Six,mob,size
dry Police forces,reportedly  road,size=300
abortion  protesters,central  GSU,size
striking health workers,medical m supplies,dozens
Police,demonstrators,size
2019  students,violent student demonstration,size
Four police officers,ground,size
county Police,tear  assembly,size
man,hospital,size
police,this,suggest
three  they,disputed  police,size
former Boni Video,MP,size
islands,usually Ugandan security forces,been at
several murder who,police custody,size
armed  group,least Marsabit three,ambushed
reports,AK-47  rifles,'s unclear
attack,nature,said
when  Police,tear  gas,hundreds
they,Dongo highway,size
2019 lynch mob,murder Kithimu,size
Police,tear  crowd,size
heavy  Protesters,Government assistance,size
Dadaj number,fatalities,known
they,survivors,released
rush Police,rush hour,intervened
2019 Oct residents,peaceful  area,size
tear  fatalities,tear  crowd,size
police who,tear  crowd,size
fatalities,arrows,reported
police who,tear  crowd,size
6 clan people,one  clans,injured
2019 Oct man,Homa Bay,killed by
matatu driver,passengers,managed
public  which,4 Ol Kalou,size
2019 census officials,three month payment,size
2019 Oct members,Ogiek Mount Chepyuk,size
government importers,Standard Gauge Railway,report
2019 census officials,three month payment,size
long  man,long  time,injured
commonwealth war Houses,iron bulldozers,demolished by
2019 Oct residents,delayed travel documents,size
2019 Oct group,sexual  area,report
bloody Riot police,tear  crowd,report
World Food Protesters,harmful  pesticides,size
one Conservancy person,two Conservancy fire,died
2019 Baringo health workers,5  months,report
Sipili fatalities,Sipili Hospital,reported
Meru Tigania pastoralists,attack,killed
Al Shabaab who,2012,identified
which,main University campus,report
Size,unemployment,reports
Oct refugees,2007 Nairobi elections,report
allegedly  Circumstances,allegedly  Siakago,are
Abagusii Police,tear  crowd,Size=100
casual Police forces,crowd,report
other Education they,Finance counterpart,Size=50
casual Police forces,crowd,report
after  motives,killing,are unclear
reportedly Vihiga who,same  day,size
exclusively Police officers,tear  crowd,report
forest who,former police homes,fatalities
Banisaa that,Degodia clan militia,killed in
Suspected Kenyan suspects,terrorist  report,were on
allegedly college Police,tear  crowd,size
second Mombasa containers,Standard Gauge Railway,size
poisoned police tractor,attackers,burnt by
however  he,only  report,Size=
it,26th,reported
25 Sep. Mutatu drivers,private  passengers,report
South Lake Police,tear  crowd,size
students,unpaid bread fees,size
Police,tear  report,Size=
unidentified  attackers,four  Baragoi,killed
Meru Mbaarua Primary it,required  standards,size
day government,request,size
one  man,head,shot in
independent Abdulrahman Omar Police,crowd,size
Mkocheni fight,serious water injuries,arose
allegedly Turkana who,pasture,shot dead
2019 Mombasa demonstrators,human Immigration police officer,size
Many  students,report,Size=
University,consequence,report
police,demonstrators,report
five  others,three retaliatory attack,killed
armed  killing,boundary  resources,be due
boda boda who,later  forest,killed
police,shooting,arrested
three Garissa border herdsmen,unidentified Garba Tula,killed
ethnic  militiamen,25 Garissa November,Reported on
Defence Forces soldiers,Sept 10th,beat
,available Tana delta,Sep.
12 Kigumo town residents,accusing County Assembly,size
Secondary School who,strike,report
10 Mathemba Secondary students,planned Mathemba Secondary strike,injured
day unfound residents,car area,size
armed  men,sporadic pasture conflicts,beheaded
12 Gatundu County residents,rising  area,size
suffered  action,allegedly Ingo village,occurred as
further  information,dead  Mtongwe,is available
suspected Al Shabaab militants,5 Mandera soldiers,attacked
mutatu he,order,shot
mutatu driver,mutatu driver,size
student,bus,size
Sep. Muranga residents,Ndindi parliament,size
striking health workers,July Governor Charity salaries,report
Domestic State that,parastatal  status,report
Muranga Sep residents,violent Ndindi parliament,size
Two Kitui events,1  fatality,coded at
Two Kitui events,1  fatality,coded at
Sept workers,producing  Limuru,report
official  Protesters,immediate  reopening,size
location,GP2,coded as
vehicle ferrying casualties,station,reported
suspected Marsabit They,unknown  cows,took unknown
suspected  militias,unknown  Ethiopia,took unknown
Tana River Tana man,Tana River Tana farms,killed
women,human rights defenders,targeted
Kenyan security police,attack,killed in
county who,reportedly drug county,report
related  judges,drug lords,dozens
list,beneficiaries,Size=500
missing unfound fatalities,missing unfound cattle,reported
moments police he,allegedly  speeding,Size=50
police colleague,traffic violation,report
flawed enumerators training Police,tear gas crowd,report
Mau Forest location,torched Mau people,coded as
who,houses,used
2019 boda boda drivers,Paul Chirchir Tarimbo,size=100
they,due  site,size
200  trees,5  trees,size
25 unfound fatalities,25 unfound Wakabheley,reported
location,grabbing unfound area,hundreds
Residents,military  forces,size
same  Tyres,traffic police,size
Police forces,mortuary,size
Kisumu official Ferdinand who,Nandi county,report
suspect,crowd,size
armed  that,them,killed in
residents,suspected drug peddlers,size
2019 meat sellers,City Hall,size
2019 Jul protest,Isiolo police,size
"4,000  that",years sugar thousands,size
student,riots,size
Two border patrol police,Kiunga- Somalia road,injured by
detonated border patrol IED,two Kiunga -Somalia road,killed in
Youth Service trainees,Advanced Kisumu,Size=400
2019 Bungoma residents,poor Pamus Ndengelwa traffic,size
large taxi Protesters,instead living community,size
others,attack,killed in
civil Jul servants,delayed June salaries,size
alleged police Drivers,illegal probox bribes,report
2019 Jul residents,boda boda motorcycle,size
fact,person,deny
man,military  officers,report
which,military  treatment,shows
2019 Jul residents,two week village,size
armed  group,150  Sololo,killed
armed  fatalities,armed  group,reported
allegedly  area,demonstrators,size
27  protest,small Machakos county,report
suspected Al Shabaab militants,three  Fino,abducted
satellite factory,Micimikuru Amugaa,size=5000
gay June protest,Justice Peace Commission,report
2019 Jun residents,official county assembly residence,size
Al Shabaab militants,fight,killed in
June Mini bus drivers,police report,Size=
before National Police Protesters,200 Baringo North,Size=
half Primary school Protesters,institute,size
Wajir Fatalities,3,coded as
fatalities,IED,reported
Kajiado wife,Kitengela town,shot
Several,Five Garba which,injured
armed  men,7 Isiolo county,killed
when  she,armed  men,was with
five quality patients,previous health officers,claimed
one  makeshift,criminals,dismissed
armed  men,unknown Dony reason,killed
One Mandera person,clash,killed in
he,fishing area,report
deep Uplands Funeral terraces,road,size
they,report,Size=
May residents,rising Gilgil sub county,report
May protesters,dual carriageway project,Size=300
motives,attack,are unclear
2019 Ndongoro villagers,car accidents,size
May members,disabled Kalama Sub County,report
unknown  fatalities,unknown  Fora,reported
criminal  who,community,size
one,unfound El Digale,killed
seven,mostly LGBTQI community,size
2019  students,sports facilities,size=200
street Governor,school,size
armed  men,seriously  Kinyu,attacked
financial  Police,tear  them,report
May businessmen,Garissa County,size
Amakuriat residents,two  witchcraft,killed
couple,police,survived
Marsabit 11,attack,killed in
they,Mandera,wounded
May women,informal women sector,report
50  size,50  years,reported
corruption April march,public President Uhuru graft,report
police,allegedly Gingo GP2,size
when  he,classmate,beaten
two  children,stolen  Marti,injured
23 Kibwezi residents,Chinese road construction,report
red cross worker,armed  Lamu,shot dead
mob burial clerk,fire,size
,19 title deeds,thousands
50 Kakuma fight,earlier love communities,size
24-storey hospital Demonstrators,allegedly  site,size
Suspected Al Shabaab gunmen,Cuban  bodyguard,abducted
Armed  men,Cuban body guard,abducted
alleged  who,three  people,size
